,HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
267,Greece,Sweden,2012,0,2,2
268,Sweden,Spain,2012,1,2,3
269,Greece,Russia,2012,0,1,1
270,Greece,Spain,2012,1,2,3
271,Russia,Sweden,2012,2,0,2
272,Portugal,Germany,2012,2,3,5
273,Croatia,Turkey,2012,1,1,2
274,Netherlands,Russia,2012,1,3,4
275,Spain,Italy,2012,0,0,0
276,Germany,Turkey,2012,3,2,5
277,Russia,Spain,2012,0,3,3
278,Final,finalaway,2012,0,1,1
279,Poland,Greece,2012,1,1,2
280,Russia,Czech,2012,4,1,5
281,Greece,Czech,2012,1,2,3
282,Poland,Russia,2012,1,1,2
283,Czech,vs,2012,1,0,1
284,Greece,Russia,2012,1,0,1
285,Netherlands,Denmark,2012,0,1,1
286,Germany,Portugal,2012,1,0,1
287,Denmark,Portugal,2012,2,3,5
288,Netherlands,Germany,2012,1,2,3
289,Portugal,Netherlands,2012,2,1,3
290,Denmark,Germany,2012,1,2,3
291,Spain,Italy,2012,1,1,2
292,Republic,Ireland,2012,1,3,4
293,Italy,Croatia,2012,1,1,2
294,Spain,Republic,2012,4,0,4
295,Croatia,Spain,2012,0,1,1
296,Italy,Republic,2012,2,0,2
297,France,England,2012,1,1,2
298,Ukraine,Sweden,2012,2,1,3
299,Ukraine,France,2012,0,2,2
300,Sweden,England,2012,2,3,5
301,England,Ukraine,2012,1,0,1
302,Sweden,France,2012,2,0,2
303,Czech,vs,2012,0,1,1
304,Germany,Greece,2012,4,2,6
305,Spain,France,2012,2,0,2
306,England,Italy,2012,0,0,0
307,Portugal,Spain,2012,0,0,0
308,Germany,Italy,2012,1,2,3
309,Final,finalaway,2012,4,0,4
310,Germany,Romania,2016,1,1,2
311,Portugal,England,2016,3,2,5
312,Romania,Portugal,2016,0,1,1
313,England,Germany,2016,1,0,1
314,England,Romania,2016,2,3,5
315,Portugal,Germany,2016,3,0,3
316,Belgium,Sweden,2016,2,1,3
317,Turkey,Italy,2016,1,2,3
318,Italy,Belgium,2016,2,0,2
319,Sweden,Turkey,2016,0,0,0
320,Turkey,Belgium,2016,2,0,2
321,Italy,Sweden,2016,2,1,3
322,Spain,Norway,2016,0,1,1
323,FR,vs,2016,3,3,6
324,Slovenia,Spain,2016,1,2,3
325,Norway,FR,2016,0,1,1
326,FR,vs,2016,3,4,7
327,Slovenia,Norway,2016,0,0,0
328,France,Denmark,2016,3,0,3
329,Netherlands,Czech,2016,1,0,1
330,Czech,vs,2016,1,2,3
331,Denmark,Netherlands,2016,0,3,3
332,Denmark,Czech,2016,0,2,2
333,France,Netherlands,2016,2,3,5
334,Turkey,Portugal,2016,0,2,2
335,Italy,Romania,2016,2,0,2
336,Netherlands,FR,2016,6,1,7
337,Spain,France,2016,1,2,3
338,France,Portugal,2016,2,1,3
339,Italy,Netherlands,2016,0,0,0
340,Final,finalaway,2016,2,1,3
341,Portugal,Greece,2016,1,2,3
342,Spain,Russia,2016,1,0,1
343,Greece,Spain,2016,1,1,2
344,Russia,Portugal,2016,0,2,2
345,Spain,Portugal,2016,0,1,1
346,Russia,Greece,2016,2,1,3
347,Switzerland,Croatia,2016,0,0,0
348,France,England,2016,2,1,3
349,England,Switzerland,2016,3,0,3
350,Croatia,France,2016,2,2,4
351,Croatia,England,2016,2,4,6
352,Switzerland,France,2016,1,3,4
353,Denmark,Italy,2016,0,0,0
354,Sweden,Bulgaria,2016,5,0,5
355,Bulgaria,Denmark,2016,0,2,2
356,Italy,Sweden,2016,1,1,2
357,Italy,Bulgaria,2016,2,1,3
358,Denmark,Sweden,2016,2,2,4
359,Czech,vs,2016,2,1,3
360,Germany,Netherlands,2016,1,1,2
361,Latvia,Germany,2016,0,0,0
362,Netherlands,Czech,2016,2,3,5
363,Netherlands,Latvia,2016,3,0,3
364,Germany,Czech,2016,1,2,3
365,Portugal,England,2016,2,2,4
366,France,Greece,2016,0,1,1
367,Sweden,Netherlands,2016,0,0,0
368,Czech,vs,2016,3,0,3
369,Portugal,Netherlands,2016,2,1,3
370,Greece,Czech,2016,1,0,1
371,Final,finalaway,2016,0,1,1
372,Switzerland,Czech,2016,0,1,1
373,Portugal,Turkey,2016,2,0,2
374,Czech,vs,2016,1,3,4
375,Switzerland,Turkey,2016,1,2,3
376,Switzerland,Portugal,2016,2,0,2
377,Turkey,Czech,2016,3,2,5
378,Austria,Croatia,2016,0,1,1
379,Germany,Poland,2016,2,0,2
380,Croatia,Germany,2016,2,1,3
381,Austria,Poland,2016,1,1,2
382,Poland,Croatia,2016,0,1,1
383,Austria,Germany,2016,0,1,1
384,Romania,France,2016,0,0,0
385,Netherlands,Italy,2016,3,0,3
386,Italy,Romania,2016,1,1,2
387,Netherlands,France,2016,4,1,5
388,Netherlands,Romania,2016,2,0,2
389,France,Italy,2016,0,2,2
390,Spain,Russia,2016,4,1,5
391,Greece,Sweden,2016,0,2,2
392,Sweden,Spain,2016,1,2,3
393,Greece,Russia,2016,0,1,1
394,Greece,Spain,2016,1,2,3
395,Russia,Sweden,2016,2,0,2
396,Portugal,Germany,2016,2,3,5
397,Croatia,Turkey,2016,1,1,2
398,Netherlands,Russia,2016,1,3,4
399,Spain,Italy,2016,0,0,0
400,Germany,Turkey,2016,3,2,5
401,Russia,Spain,2016,0,3,3
402,Final,finalaway,2016,0,1,1
403,Poland,Greece,2016,1,1,2
404,Russia,Czech,2016,4,1,5
405,Greece,Czech,2016,1,2,3
406,Poland,Russia,2016,1,1,2
407,Czech,vs,2016,1,0,1
408,Greece,Russia,2016,1,0,1
409,Netherlands,Denmark,2016,0,1,1
410,Germany,Portugal,2016,1,0,1
411,Denmark,Portugal,2016,2,3,5
412,Netherlands,Germany,2016,1,2,3
413,Portugal,Netherlands,2016,2,1,3
414,Denmark,Germany,2016,1,2,3
415,Spain,Italy,2016,1,1,2
416,Republic,Ireland,2016,1,3,4
417,Italy,Croatia,2016,1,1,2
418,Spain,Republic,2016,4,0,4
419,Croatia,Spain,2016,0,1,1
420,Italy,Republic,2016,2,0,2
421,France,England,2016,1,1,2
422,Ukraine,Sweden,2016,2,1,3
423,Ukraine,France,2016,0,2,2
424,Sweden,England,2016,2,3,5
425,England,Ukraine,2016,1,0,1
426,Sweden,France,2016,2,0,2
427,Czech,vs,2016,0,1,1
428,Germany,Greece,2016,4,2,6
429,Spain,France,2016,2,0,2
430,England,Italy,2016,0,0,0
431,Portugal,Spain,2016,0,0,0
432,Germany,Italy,2016,1,2,3
433,Final,finalaway,2016,4,0,4
434,France,Romania,2016,2,1,3
435,Albania,Switzerland,2016,0,1,1
436,Romania,Switzerland,2016,1,1,2
437,France,Albania,2016,2,0,2
438,Romania,Albania,2016,0,1,1
439,Switzerland,France,2016,0,0,0
440,Wales,Slovakia,2016,2,1,3
441,England,Russia,2016,1,1,2
442,Russia,Slovakia,2016,1,2,3
443,England,Wales,2016,2,1,3
444,Russia,Wales,2016,0,3,3
445,Slovakia,England,2016,0,0,0
